stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1001,1001,"Abbottsfield Transit Centre",,  53.571965,-113.390362,,,0,
1002,1002,"Abbottsfield Transit Centre",,  53.572087,-113.390058,,,0,
1010,1010,"50 Street & 122 Avenue",,  53.576936,-113.418303,,,0,
1014,1014,"89 Street & 118 Avenue",,  53.570532,-113.478260,,,0,
1015,1015,"Wayne Gretzky Dr S & 118 Avenue",,  53.570569,-113.453962,,,0,
1017,1017,"73 Street & 111 Avenue",,  53.561623,-113.448319,,,0,
1019,1019,"101 Street & 104 Avenue",,  53.547099,-113.493591,,,0,
1020,1020,"38 Street & 114 Avenue",,  53.566525,-113.400047,,,0,
1021,1021,"Rossdale Road & 96 Avenue",,  53.531905,-113.497659,,,0,
1022,1022,"97 Street & 109A Avenue",,  53.556008,-113.491239,,,0,
1023,1023,"96 Street & 111 Avenue",,  53.559217,-113.490462,,,0,
1024,1024,"102 Street & 111 Avenue",,  53.558788,-113.497897,,,0,
1025,1025,"84 Street & 118 Avenue",,  53.570329,-113.469870,,,0,
1026,1026,"Alex Taylor Road & Jasper Avenue",,  53.547392,-113.476334,,,0,
1027,1027,"90 Street & 118 Avenue",,  53.570326,-113.479065,,,0,
1028,1028,"48 Street & 114 Avenue",,  53.566833,-113.415664,,,0,
1029,1029,"32 Street & 111 Avenue",,  53.563609,-113.389519,,,0,
1030,1030,"40 Street & 114 Avenue",,  53.566754,-113.402674,,,0,
1031,1031,"54 Street & 118 Avenue",,  53.570622,-113.424664,,,0,
1032,1032,"102 Street & 111 Avenue",,  53.558981,-113.498348,,,0,
1033,1033,"68 Street & 118 Avenue",,  53.570325,-113.445938,,,0,
1034,1034,"Fort Road & Mount Lawn Road",,  53.575549,-113.459729,,,0,
1035,1035,"107 Street & Jasper Avenue",,  53.540830,-113.504007,,,0,
1036,1036,"54 Street & 121 Avenue",,  53.574811,-113.424663,,,0,
1037,1037,"48 Street & 121 Avenue",,  53.575118,-113.415628,,,0,
1038,1038,"46 Street & 114 Avenue",,  53.566744,-113.411925,,,0,
1039,1039,"95 Street & 108 Avenue",,  53.554390,-113.483995,,,0,
1040,1040,"97 Street & 118 Avenue",,  53.570860,-113.492010,,,0,
1041,1041,"Wayne Gretzky Drive S & 112 Avenue",,  53.562823,-113.447378,,,0,
1042,1042,"124 Street & 111 Avenue",,  53.558985,-113.536550,,,0,
1043,1043,"97 St & Yellowhead Tr Nearside",,  53.581160,-113.491952,,,0,
1044,1044,"80 Street & 118 Avenue",,  53.570330,-113.463370,,,0,
1045,1045,"Bellamy Hill & 98 Avenue",,  53.535533,-113.497088,,,0,
1046,1046,"40211.8",,  53.575033,-113.392891,,,0,
1047,1047,"124 Street & 103 Avenue",,  53.544284,-113.536005,,,0,
1048,1048,"97 Street & 120 Avenue",,  53.573109,-113.492472,,,0,
1050,1050,"101 Street & 105 Avenue",,  53.547396,-113.493829,,,0,
1051,1051,"95 Street & 102A Avenue",,  53.546605,-113.479443,,,0,
1052,1052,"66 Street & 122 Avenue",,  53.576996,-113.442827,,,0,
1053,1053,"Kingsway & 111 Avenue",,  53.559017,-113.504925,,,0,
1054,1054,"44 Street & 121 Avenue",,  53.575037,-113.408712,,,0,
1055,1055,"Abbottsfield Road & 119 Avenue",,  53.572930,-113.388532,,,0,
1056,1056,"95 Street & 115 Avenue",,  53.566161,-113.487070,,,0,
1057,1057,"82 Street & 125 Avenue",,  53.581038,-113.467479,,,0,
1058,1058,"38 Street & 108 Avenue",,  53.561168,-113.400064,,,0,
1059,1059,"103 Street & 118 Avenue",,  53.570282,-113.496913,,,0,
1060,1060,"88 Street & 115 Avenue",,  53.565887,-113.476998,,,0,
1061,1061,"38 Street & 106 Avenue",,  53.559964,-113.399900,,,0,
1062,1062,"82 Street & 119 Avenue",,  53.571906,-113.466399,,,0,
1063,1063,"62 Street & 112 Avenue",,  53.565883,-113.433777,,,0,
1064,1064,"101 Street & 103 Avenue",,  53.544910,-113.493851,,,0,
1065,1065,"40 Street & 121 Avenue",,  53.575137,-113.403388,,,0,
1066,1066,"Groat Road & 118 Avenue",,  53.570371,-113.547421,,,0,
1067,1067,"34 Street & 116A Avenue",,  53.569074,-113.393610,,,0,
1068,1068,"32 Street & Abbottsfield Road",,  53.575037,-113.390417,,,0,
1069,1069,"Bellamy Hill & 99 Avenue",,  53.537031,-113.495708,,,0,
1070,1070,"50 Street & 121 Avenue",,  53.575028,-113.417810,,,0,
1071,1071,"38 Street & 109 Avenue",,  53.562528,-113.399892,,,0,
1072,1072,"84 Street & 110 Avenue",,  53.558324,-113.470780,,,0,
1073,1073,"124 Street & 115 Avenue",,  53.564881,-113.536044,,,0,
1074,1074,"66 Street & 120 Avenue",,  53.573257,-113.443072,,,0,
1075,1075,"105 Street & 118 Avenue",,  53.570426,-113.501666,,,0,
